Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 5.21, 6.8, 6.79, 6.39,
100, 5.8, 8.48, 7.42, 10.31,
150, 7.34, 11.31, 9.37, 12.63,
200, 8.18, 12.05, 10.31, 11.03,
250, 7.9, 13.9, 12.72, 14.15,
300, 8.11, 14.56, 12.21, 14.9,
350, 9.28, 16.99, 13.25, 16.56,
400, 9.19, 18.04, 13.23, 18.14,
450, 10.07, 18.03, 12.26, 19.68,
500, 10.45, 17.51, 13.88, 16.47,
550, 10.3, 18.04, 15.92, 17.9,
600, 11.23, 20.36, 16.16, 19.01,
