Time, Randoop, Orienteering, ConstantMining, DigDog,
50, 2.41, 2.88, 2.73, 3.79,
100, 3.5, 7.19, 3.97, 5.01,
150, 5.22, 7.39, 4.67, 6.79,
200, 4.73, 5.6, 5.92, 8.03,
250, 5.61, 6.28, 5.35, 6.11,
300, 4.36, 10.6, 6.54, 7.07,
350, 3.98, 7.88, 6.39, 7.5,
400, 5.69, 9.28, 7.44, 8.85,
450, 4.0, 11.09, 7.75, 10.73,
500, 4.7, 10.38, 6.98, 9.85,
550, 5.91, 9.99, 8.5, 8.77,
600, 6.06, 9.21, 6.24, 12.55,
